Networking & Security,assess,,,https://www.coana.tech,

Datastores,adopt,RDS Postgres,\ue76e,,https://aws.amazon.com/rds/postgresql/
Datastores,adopt,AWS EBS,,,https://aws.amazon.com/ebs/
Datastores,adopt,AWS EFS,,,https://aws.amazon.com/efs/
Datastores,adopt,AWS S3,,,

Infrastructure,assess,Github Enterprise Cloud,\uea84,,https://docs.github.com/en/enterprise-cloud@latest
Infrastructure,assess,Github Actions,,,https://docs.github.com/en/actions
Infrastructure,assess,ArgoCD,,,https://github.com/argoproj/argo-helm/tree/main/charts/argo-cd 
Infrastructure,assess,Backstage,,,https://github.com/backstage/charts
Infrastructure,hold,TeamCity,,down,https://www.jetbrains.com/teamcity/
Infrastructure,adopt,Microsoft Entra,\uf0805,,https://www.microsoft.com/en-us/security/business/microsoft-entra
Infrastructure,adopt,Containers,\uf4b7,,https://dygtighest.dk
Infrastructure,assess,Lambda,\uf0627,,https://aws.amazon.com/lambda/
Infrastructure,assess,Karpenter,,,https://karpenter.sh/v0.37/getting-started/getting-started-with-karpenter/
Infrastructure,assess,Kubernetes,\uf10fe,,https://github.com/test-jppolitikenshus/internal-developer-platform/blob/main/architecture-decision-records/006-container-orkestrering.md
Infrastructure,assess,AWS SQS,,
Infrastructure,assess,AWS SNS,,
Infrastructure,assess,AWS ECR,,
Infrastructure,assess,DockerHub,,
Infrastructure,assess,AWS Route53,,,
Infrastructure,assess,AWS incident manager,,,
Infrastructure,assess,AWS Backup Vault,,,
Infrastructure,assess,Veeam,,,

Infrastructure as code,assess,Terraform,\uf1062,,https://opentofu.org
Infrastructure as code,trial,Crossplane,,,https://docs.crossplane.io/latest/software/install/
Infrastructure as code,assess,CDK,,,https://aws.amazon.com/cdk/
Infrastructure as code,adopt,GitOps,,,https://akkireddy.medium.com/rethinking-gitops-moving-beyond-branch-based-deployment-4605f078ef0e

Observability,assess,Grafana,,up,https://github.com/grafana/helm-charts 
Observability,assess,OpenTelemetry,,up,https://github.com/open-telemetry/opentelemetry-helm-charts
Observability,assess,Datadog,,,https://datadog.com






